name,category,description,skills_measured,job_suitability,experience_level,duration,delivery_method,assessment_url,full_text
Automata Fix New,Job-Specific Skills,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,Java,Developer,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Assessment: Automata Fix New | Category: Job-Specific Skills | Query: I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes. | Skills: Java | Suitable for: Developer
Core Java Entry Level New,Job-Specific Skills,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,Java,Developer,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Assessment: Core Java Entry Level New | Category: Job-Specific Skills | Query: I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes. | Skills: Java | Suitable for: Developer
Java 8 New,Job-Specific Skills,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,Java,Developer,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Assessment: Java 8 New | Category: Job-Specific Skills | Query: I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes. | Skills: Java | Suitable for: Developer
Core Java Advanced Level New,Job-Specific Skills,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,Java,Developer,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Assessment: Core Java Advanced Level New | Category: Job-Specific Skills | Query: I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes. | Skills: Java | Suitable for: Developer
Interpersonal Communications,Job-Specific Skills,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,Java,Developer,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,Assessment: Interpersonal Communications | Category: Job-Specific Skills | Query: I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes. | Skills: Java | Suitable for: Developer
Entry Level Sales 7 1,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,"Assessment: Entry Level Sales 7 1 | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
Entry Level Sales Sift Out 7 1,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,"Assessment: Entry Level Sales Sift Out 7 1 | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
Entry Level Sales Solution,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,"Assessment: Entry Level Sales Solution | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
Sales Representative Solution,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,"Assessment: Sales Representative Solution | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
Business Communication Adaptive,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,"Assessment: Business Communication Adaptive | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
